,tweet_id,name,verified,created_at,retweet_count,favorite_count,followers_count,hashtags,text,clean_text,textblob_sentiment,textblob_summary,vader_sentiment_pos,vader_sentiment_neg,vader_sentiment_neu,vader_sentiment_compound,vader_summary
3682,303,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
3747,368,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
3815,436,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
3819,440,Bitcoin News,True,2022-03-11 11:18:01+00:00,59,129,2450127,"[{'text': 'AVAX', 'indices': [0, 5]}, {'text': 'Crypto', 'indices': [17, 24]}, {'text': 'Binance', 'indices': [48, 56]}, {'text': 'Russian', 'indices': [84, 92]}]","#AVAX Up 2.5% as #Crypto Markets Move Sideways, #Binance Suspends Transactions with #Russian Credit Cards —… https://t.co/kmprTIkFxC",['#avax up 25 as #crypto markets move sideways #binance suspends transactions with #russian credit cards —… httpstcokmprtikfxc'],0.0,Neutral,0.14,0.0,0.86,0.3818,Positive
3820,441,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
3885,506,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
3889,510,Bitcoin News,True,2022-03-11 11:18:01+00:00,59,129,2450127,"[{'text': 'AVAX', 'indices': [0, 5]}, {'text': 'Crypto', 'indices': [17, 24]}, {'text': 'Binance', 'indices': [48, 56]}, {'text': 'Russian', 'indices': [84, 92]}]","#AVAX Up 2.5% as #Crypto Markets Move Sideways, #Binance Suspends Transactions with #Russian Credit Cards —… https://t.co/kmprTIkFxC",['#avax up 25 as #crypto markets move sideways #binance suspends transactions with #russian credit cards —… httpstcokmprtikfxc'],0.0,Neutral,0.14,0.0,0.86,0.3818,Positive
3890,511,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
3963,584,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
3967,588,Bitcoin News,True,2022-03-11 11:18:01+00:00,59,129,2450127,"[{'text': 'AVAX', 'indices': [0, 5]}, {'text': 'Crypto', 'indices': [17, 24]}, {'text': 'Binance', 'indices': [48, 56]}, {'text': 'Russian', 'indices': [84, 92]}]","#AVAX Up 2.5% as #Crypto Markets Move Sideways, #Binance Suspends Transactions with #Russian Credit Cards —… https://t.co/kmprTIkFxC",['#avax up 25 as #crypto markets move sideways #binance suspends transactions with #russian credit cards —… httpstcokmprtikfxc'],0.0,Neutral,0.14,0.0,0.86,0.3818,Positive
3968,589,DeFi Yield Protocol,True,2022-03-11 16:05:00+00:00,29,52,106340,"[{'text': 'AVAX', 'indices': [43, 48]}, {'text': 'BSC', 'indices': [50, 54]}, {'text': 'ETH', 'indices': [58, 62]}, {'text': 'yieldfarming', 'indices': [91, 104]}]","✅ Join the liquidity pool that you prefer: #AVAX, #BSC or #ETH and earn up to 260% APR for #yieldfarming.

💰With a… https://t.co/nkI1WUmBqk",['✅ join the liquidity pool that you prefer #avax #bsc or #eth and earn up to 260 apr for #yieldfarming\r\n\r\n💰with a… httpstconki1wumbqk'],0.0,Neutral,0.095,0.0,0.905,0.296,Positive
